exposure	outcome	sequence_id	protein	gene	nsnp	method	b	se	pval	OR	lower_ci	upper_ci
18342_2_PSAT1_SERC	ieu-b-4957	18342_2	SERC	PSAT1	1	Wald ratio	-0.20557231313878	0.472472508242234	0.66349057344346	0.814181216439052	0.322510872771791	2.05540683793082
8274_64_STX7_Syntaxin_7	ieu-b-4957	8274_64	Syntaxin_7	STX7	1	Wald ratio	0.235302567874927	0.500893967663348	0.638522761321453	1.26529154739637	0.474046619501268	3.37722627702107
8274_64_STX7_Syntaxin_7	myeloma_meta-analysis	8274_64	Syntaxin_7	STX7	1	Wald ratio	0.393680614859095	0.304867634500427	0.196593942210245	1.48242700789904	0.815576585699885	2.69452295747631
5688_65_CBLN4_CBLN4	ieu-b-4957	5688_65	CBLN4	CBLN4	1	Wald ratio	-0.316936811376981	0.399513211590437	0.427598711142861	0.728376778797292	0.33287684038901	1.59378084480471
15604_18_MAPK9_JNK2	ieu-b-4957	15604_18	JNK2	MAPK9	1	Wald ratio	-0.168269228186324	0.396267163066193	0.671102183094653	0.845126272239431	0.388697890658277	1.8375155440636
15604_18_MAPK9_JNK2	myeloma_meta-analysis	15604_18	JNK2	MAPK9	1	Wald ratio	0.0882990249187432	0.241061755146262	0.714147097903017	1.09231470251307	0.681007462210541	1.7520386714314
17474_106_YEATS4_YETS4	ieu-b-4957	17474_106	YETS4	YEATS4	1	Wald ratio	-2.10975641454932	1.25613286311792	0.0930420407767968	0.121267501835126	0.0103395717637203	1.42228395308715
5542_22_NRP1_NRP1	ieu-b-4957	5542_22	NRP1	NRP1	1	Wald ratio	0.064192276588664	0.200807201299183	0.749217603269833	1.06629740307927	0.719362527259406	1.58055237620627
4971_1_CTSZ_CATZ	myeloma_meta-analysis	4971_1	CATZ	CTSZ	1	Wald ratio	-0.0749709639953542	0.122357723577236	0.540061822305322	0.927770424683821	0.729940611537941	1.17921642844948
9754_33_NQO2_Quinone_reductase_2	ieu-b-4957	9754_33	Quinone_reductase_2	NQO2	1	Wald ratio	-0.0346410764876294	0.0705739437534587	0.623533984397273	0.96595205695016	0.841166208757125	1.10924971380496
2900_53_CCL14_HCC_1	ieu-b-4957	2900_53	HCC_1	CCL14	1	Wald ratio	-0.232552678903656	0.10877997642165	0.0325308552647734	0.79250799979456	0.640336517201269	0.980841968038128
