id.exposure	id.outcome	exposure	outcome	snp_r2.exposure	snp_r2.outcome	correct_causal_direction	steiger_pval
0AyN4j	ieu-b-4957	18342_2_PSAT1_SERC	ieu-b-4957	0.007581537082279	4.89516053891832e-05	TRUE	NA
0FyaPj	ieu-b-4957	8274_64_STX7_Syntaxin_7	ieu-b-4957	0.00660177897746214	5.70968179785696e-05	TRUE	NA
0IQerP	ieu-b-4957	5688_65_CBLN4_CBLN4	ieu-b-4957	0.0101931309191004	0.000160565707250135	TRUE	NA
0Jxlqy	ieu-b-4957	15604_18_MAPK9_JNK2	ieu-b-4957	0.0110306527850714	4.59568560541634e-05	TRUE	NA
0LZoPk	ieu-b-4957	17474_106_YEATS4_YETS4	ieu-b-4957	0.00114998796269816	0.000736312160957924	TRUE	NA
0sbN0i	ieu-b-4957	5542_22_NRP1_NRP1	ieu-b-4957	0.0384044088893787	2.61401062451778e-05	TRUE	NA
0umpbS	ieu-b-4957	9754_33_NQO2_Quinone_reductase_2	ieu-b-4957	0.471273667574859	6.71311523385061e-05	TRUE	NA
0X0IAW	ieu-b-4957	2900_53_CCL14_HCC_1	ieu-b-4957	0.148699869014129	0.00116940088589296	TRUE	NA
11iiTb	ieu-b-4957	9950_229_LAG3_LAG_3	ieu-b-4957	0.00749520921713324	3.25750016600372e-05	TRUE	NA
14MwY0	ieu-b-4957	9212_22_CTSF_CATF	ieu-b-4957	0.0144147642276562	0.000585200677258379	TRUE	NA
18PGPa	ieu-b-4957	11493_169_DYNLL2_DYL2	ieu-b-4957	0.0013714780931025	0.000242708641985107	TRUE	NA
1Ao674	ieu-b-4957	17843_30_PPCS_PPCS	ieu-b-4957	0.00484133928852682	3.90768410490191e-05	TRUE	NA
1bjJ40	ieu-b-4957	8403_18_FASN_Fatty_acid_synthase	ieu-b-4957	0.0109178581602168	1.50442250288126e-05	TRUE	NA
1c0DL7	ieu-b-4957	10070_22_PLCG2_PLCG2	ieu-b-4957	0.00627196387268463	0.00038647820383626	TRUE	NA
1hi02W	ieu-b-4957	8398_277_RARRES1_RAR_responsive_protein_TIG1	ieu-b-4957	0.643320741192401	0.0009897087230608	TRUE	NA
1KCi9A	ieu-b-4957	17738_7_CRNN_CRNN	ieu-b-4957	0.00856256126827377	0.000130251994970136	TRUE	NA
1lazSJ	ieu-b-4957	7822_11_HRASLS2_HRSL2	ieu-b-4957	0.00129332352384411	1.32730037794457e-05	TRUE	NA
1LovM0	ieu-b-4957	4125_52_AGER_sRAGE	ieu-b-4957	0.0426208128423501	0.000435084854235652	TRUE	NA
1Mk3Mw	ieu-b-4957	2742_68_SIGLEC7_Siglec_7	ieu-b-4957	0.0411730971379037	8.91738602383776e-08	TRUE	NA
